dateTime.decimalPoint|,
phrase.canChangePassword|kan endra passord
phrase.userAccount|brukarkonto
phrase.userRegistrations|brukarregistreringar
phrase.validFromToDate|gyldig frå/til dato
phrase.isSetToX|er sett til ’[X]’
phrase.invalidX|ugyldig [X]
phrase.detectedChanges|endringar oppdaga
phrase.numberOfChanges|talet på endringar
phrase.xDoesNotExist|[X] eksisterer ikkje
phrase.automaticallyAddedX|[X] automatisk lagt til
phrase.notSendt|ikkje sendt
phrase.noResultXmlFound|ingen resultat-XML funnet
phrase.elrReturnedX|eLearnReception returnerte [X]
phrase.elrApiCallFailed|eLearnReception API-kall mislykkast
phrase.courseResult|kursresultat
phrase.quizResult|quizresultat
phrase.pleaseEnterAValue|vennlegast oppgi ein verdi
phrase.xMustBeAnInteger|[X] må vera eit heiltal
phrase.userNotAuthorized|brukar ikkje autorisert
phrase.cannotDelete|kan ikkje sletta
phrase.insufficientData|utilstrekkelege data
phrase.doConfirmUnit|stadfesta eining
phrase.xSaved|[X] lagra
phrase.jobQueued|jobb lagd i kø
phrase.theJobIsAlreadyRunning|jobben køyrer allereie
phrase.theJobIsNotActivated|jobben er ikkje aktivert
phrase.theJobStarted|jobben starta
phrase.startXExport|start [X]eksport
phrase.couldNotParseDate|kunne ikkje tolka dato
phrase.couldNotParseValueForX|kunne ikkje tolka verdien for [X]
phrase.xCannotBeNull|[X] kan ikkje vera NÜLL
phrase.xHasNoPropertyY|[X] har ingen eigenskap ’[Y]’
phrase.downloadX|last ned [X]
phrase.unknownValue|ukjend verdi
phrase.affiliatedWithChosenUnit|tilknytt vald eining
phrase.affiliatedWithChosenOrASubunit|tilknytt vald eining/undereining
phrase.othersInChosenUnitsOrganization|andre i den valt organisasjonen i eininga
phrase.notAffiliatedWithChosenUnit|ikkje knytte til vald eining
phrase.notAffiliatedWithAnyUnit|ikkje knytte til noka eining
phrase.manager/middleManager|leiar/mellomleiar
phrase.employedWithoutPersonnelResponsibilities|tilsett utan personalansvar
phrase.allowAndRemove|tillat og fjern
phrase.allowAndKeep|tillat og behald
phrase.allowAndRemoveX|tillat og fjern [X]
phrase.allowAndKeepX|tillat og behald [X]
phrase.allowAndRemoveProduct|tillat og fjern produktet
phrase.allowAndKeepProduct|tillat og behalda produktet
phrase.notAllowed|ikkje tillate
phrase.reloadLocaleFile|last språkfila på nytt
phrase.dragProduct/RoleToAdd|DRA ROLLE/PRODUKT TIL LISTE OVER FOR Å LEGG TIL
phrase.completedEcourses|E-kurs bestått
phrase.showInfo|vis info
phrase.numberOf|talet på
phrase.numberOfX|talet på [X]
phrase.pageviewPerArea|sidevisningar per område
phrase.inTotalAll|totalt alle
phrase.inTotalSectors|i totale sektorar
phrase.hideInfo|skjul info
phrase.usersCreated|brukarar oppretta
phrase.loginSuccessful|vellykka innlogging
phrase.socialSecurityNumber|personnummer
phrase.dataTable|data tabell
phrase.showX|vis [X]
phrase.backToX|tilbake til [X]
phrase.print|skriv ut
phrase.resetZoom|tilbakestill zoom
phrase.resetZoomToX|tilbakestill zoom til [X]
phrase.lockedByUserX|låst av bruker [X]
phrase.ignoringNewVismaConnectUser|ny brukar i Visma Connect - ignorerer
phrase.phoneNumber|telefonnummer
phrase.noChangesInEBAData|ingen endringar i EBA-data
phrase.ourAppNotIncluded|appen vår ikkje inkludert
phrase.deletingNotPerformed|sletting ikkje utført
phrase.noPayload|inga nyttelast
phrase.sendXMail|send ’[X]’ e-post
phrase.xSuccessfullySendt|[X] vart sendt
phrase.sendingXFailed|sending av [X] mislykkast
phrase.systemMessage|systemmelding
phrase.trackCustomerX|spor kunde ’[X]’
phrase.crmLink|CRM-kopling
phrase.crmLinks|CRM-koplingar
phrase.aCrmLink|ei CRM-kopling
phrase.customerCardId|kundekort-ID
phrase.anAlternative|eit alternativ
phrase.googleDriveFolder|googla Drive mappe
phrase.jobConfig|jobb konfig
phrase.missingX|manglar [X]
phrase.xIsMissing|[X] manglar
phrase.dontX|ikkje [X]
phrase.trainingPackage|opplæringspakke
phrase.createXAs|opprett [X] som
phrase.downloadAsX|last ned som [X]
phrase.saveAs|lagre som
phrase.saveXAs|lagre [X] som
phrase.textSize|tekststorleik
phrase.reflectionMaterial|refleksjonsmateriale
phrase.insertX|set inn [X]
phrase.linkText|lenkjetekst
phrase.fromX|frå [X]
phrase.subjectArticle|fagleg artikkel
phrase.linkToPage|lenkje til side
phrase.encyclopedia/chapter|oppslagsverk/kapittel
phrase.legalSource|rettskjelde
phrase.privateSector|privat sektor
phrase.subjectMissing|emne manglar
phrase.personalUserCreated|brukaren din vart oppretta. Du vil snart få ein e-post med instruksjonar om korleis du aktiverer brukaren din
phrase.trialUserCreated|prøvebrukaren er oppretta. Du vil snart få ein e-post med instruksjonar om korleis du aktiverer brukaren din
phrase.noVismaAppsFound|ingen appar funne
highcharts.accessibility.axis.xAxisDescriptionPlural|diagrammet har {numAxes} X-aksar som viser {
highcharts.accessibility.axis.xAxisDescriptionSingular|diagrammet har 1 X-akse som viser {namn[0]}.
highcharts.accessibility.axis.yAxisDescriptionPlural|diagrammet har {numAxes} Y-aksar som viser {
highcharts.accessibility.axis.yAxisDescriptionSingular|diagrammet har 1 Y-akse som viser {namn[0]}.
highcharts.accessibility.exporting.chartMenuLabel|diagrameksport
highcharts.accessibility.exporting.exportRegionLabel|diagrameksport meny
highcharts.accessibility.exporting.menuButtonLabel|vis eksportmeny
highcharts.contextButtonTitle|diagram meny
highcharts.downloadCSV|last ned CSV
highcharts.downloadXLS|last ned XLS
highcharts.downloadJPEG|last ned som Jpeg-bilete
highcharts.downloadPDF|last ned som PDF-dokument
highcharts.downloadPNG|last ned som PNG-bilete
highcharts.downloadSVG|last ned som SVG-bilete
productSector.healthCare.name|helse og omsorg
productSector.healthCare.code|HO
productSector.school.name|skule
productSector.school.code|SK
productSector.kindergarten.name|barnehage
productSector.kindergarten.code|BH
productSector.childWelfare.name|barnevern
productSector.childWelfare.code|BV
productSector.contentAuthor.name|forfattar
productSector.contentAuthor.code|AT
productSector.contentAdmin.name|admin
productSector.contentAdmin.code|AD
productSector.notRelevant.name|ikkje relevant
productSector.notRelevant.code|IR
productSector.unknown.name|ukjent
productSector.unknown.code|UK
productSector.invalid.name|ugyldig
productSector.invalid.code|UG
userCategory.id1|normalbrukar
userCategory.id2|fellesbrukar
userCategory.id3|vL-bruker
userCategory.normalUser|normalbrukar
userCategory.commonUser|fellesbrukar
userCategory.vlUser|vL-bruker
userCategory.other|andre
email.bestRegards|med vennleg helsing EBA
email.m0001.subject|eBA - fatal feil ved endring av brukarnamn på Visma-konto
email.m0001.body|bruker [X] endra brukarnamnet til Visma-kontoen sin til [Y]. Men brukarnamnet [Y] er allereie i bruk! MÅ HANDTERAST MANUELT!!
email.m0002.subject|eBA - rolle/produkt fjerna på grunn av endring av Visma-konto brukarnamn
email.m0002.body1|bruker endra brukarnamn for Visma-kontoen sin frå [X] til [Y].
email.m0002.body2|ingen ny organisasjon vart funnen for det nye brukarnamnet, og følgjande vart fjerna frå brukaren:
email.m0002.body3|dette medførte byte av organisasjon, og følgjande vart fjerna frå brukaren:
email.m0003.subject|eBA - rolle/produkt fjerna på grunn av endring av verksemd
email.m0003.body|bruker [X] mista følgjande rolle/produkt ved endring av verksemd frå [Y] til [Z]
quarter.q1.name|første kvartal
quarter.q1.abbr|q1
quarter.q2.name|andre kvartal
quarter.q2.abbr|q2
quarter.q3.name|tredje kvartal
quarter.q3.abbr|q3
quarter.q4.name|fjerde kvartal
quarter.q4.abbr|q4
tertial.t1.name|første trimester
tertial.t2.name|andre trimester
tertial.t3.name|tredje trimester
csv.delimiter|cSV-skilletegn
csv.separator|cSV-separator
csv.delimiterMustBeOneChar|cSV-skilletegn kan berre innehalda eitt teikn.
csv.separatorMustBeOneChar|cSV-skilletegn kan berre innehalda eitt teikn.
csv.file|cSV-fil
csv.error.0000|inkonsistente data, brukarnamn ’[X]’ opptrer fleire gonger i fila med ulike data
csv.error.0001|fann ikkje verksemd med orgno ’[X]’
csv.error.0002|avdeling-ID er oppgitt, men ikkje organisasjonsnummer for verksemd
product.addCapabilitiesIngress|leggja til evner for gjeldande produkt/rolle
product.addDelegatableIngress|leggja til produkt/roller som innehavaren av gjeldande produkt/rolle kan tildela andre
product.addGroupsIngress|leggja til Episerver-grupper. Grupper kontrollerer tilgangen til innhald i EPiServer
product.dragCapability|DRA KAPABILITET TIL LISTE FOR Å LEGGJA TIL
product.dragGroup|DRA GRUPPE TIL LISTE FOR Å LEGG TIL
product.additionalProducts|tilleggsprodukt/roller
product.addProductsIngress|leggja til produkt/roller som skal inkluderast i gjeldande produkt/rolla
product.cannotContainSelf|produkt/rolle kan ikkje innehalda seg sjølv
product.codeAlreadyExists|det finst allereie eit produkt med denne koden
product.shortNameAlreadyExists|eit produkt med dette korte namnet finst allereie
warn.permanentlyDeleteCustomer|før du slettar denne kunden, VER MERKSAM PÅ FØLGJANDE!
warn.permanentlyDeleteCustomer1|er du heilt, absolutt, positivt, komplett sikker på at kunden må slettast?
warn.customerHasHistory|denne kunden har e-læringshistorikk, og sletting vil resultera i tap av rapporteringsdata!!
warn.xCustomersAffiliatedWithThisCustomer|det er [X] kundar knytte til denne kunden!
warn.usersAffiliatedWithThisOrAChildUnit|brukarar er knytt til denne og/eller ei av undereiningane
warn.authorizedUsernamesAffiliatedWithThisOrAChildUnit|godkjende brukarnamn er knytt til denne og/eller ei av undereiningane
warn.theseMustBeDeletedOrMovedBeforeDeletingTheUnit|desse må flyttast eller slettast før du kan sletta eininga
warn.onlyOneVLUserPerOrg|berre éin (1) VL-brukar per organisasjon er tillaten
warn.onlyOneVLUserPerOrg1|følgjande VL-brukar kan derfor ikkje flyttast før den eksisterande VL-brukaren for denne organisasjonen er fjerna.
error.unknown|ukjend feil
error.happened|ein feil oppstod
error.coundNotStartJob|kunne ikkje starta jobben. Jobbstartar sa: [X]
error.usernameExists|brukarnamnet er allereie i bruk
error.orgXAlreadyHasVLUserY|vL-bruker [Y] er allereie tilknytt organisasjonen [X]
error.emailDomainMissing|e-postdomene manglar. Kan det vera eit feilplassert komma?
error.emailDomainContainsAt|e-postdomene skal berre innehalda den delen av ei e-postadresse som kjem etter alfakrøllen (@)
error.emailDomainMustHaveDot|e-postdomene må innehalda minst eitt punktum
error.emailDomainStartsOrEndsWithDot|e-postdomene kan ikkje byrja eller slutta med punktum
error.duplicateEmailDomainsInString|inneheld dupliserte domene
error.invalidEmailAddress|ugyldig e-postadresse
error.passwordMissing|passord må oppgivast
error.thisUserHasNoPassword|denne brukaren har ikkje fått passord. Skriv inn passord
error.invalidIpAddress|iP-adresser må innehalda 4 tal mellom 0 og 255 som er delte med eit punktum (.). Til dømes: 192.168.0.1
error.officialUnitCanOnlyBeAddedToOfficialUnits|ei offisiell eining kan berre leggjast til andre offisielle einingar.
error.systemErrorX|det oppstod ein systemfeil og handlinga kunne ikkje utførast. Systemfeil: [X]
error.reportFailed|det oppstod ein feil og rapporten kunne ikkje opprettast. Viss problemet held fram, vennlegast kontakt systemadministratoren
error.couldNotSaveChanges|kunne ikkje lagra endringar. Rett feil og prøv igjen
error.couldNotDeleteItem|kunne ikkje sletta oppføringa
error.oneOrMoreErrorsHappened|ein eller fleire feil oppstod
error.cannotSaveDueToProductRowErrors|kan ikkje lagra på grunn av feil i ei eller fleire produktrader
error.genericFormError|kunne ikkje utføra handlinga. Sjå gjennom skjemaet og prøv igjen
error.commonUsersCannotAuthorizeUsernames|fellesbrukarar kan ikkje registrera godkjende brukarnamn
error.cannotEditDueToErrorInAnotherRow|kan ikkje redigera rad på grunn av feil i ei anna rad
error.cannotAddRowDueToErrorInAother|kan ikkje leggja til rad på grunn av feil i ei anna rad
error.importNotDoneDueToFollowingErrors|import ikkje utført på grunn av følgjande feil
error.serverErrorWithoutMessage|det oppstod ein serverfeil, men inga melding vart gitt
error.noPrimeFoundForThisResult|ingen prime-request vart funne for dette resultatet
error.authUsernameOwnerMustBeAttachedToVLUser|brukar som registrerer godkjende brukarnamn må vera knytt til ein VL-brukar
error.cannotChangeBecauseResultsExists|kan ikkje endrast fordi det finst mottekne resultat for dette kurset
error.cannotDeleteBecauseResultsExists|kan ikkje sletta fordi det finst mottekne resultat for dette kurset
error.emailDomainCanOnlyBeRegisteredOnVLUsers|e-postdomene kan berre registrerast på brukarar i VL-brukarkategorien
error.onlyNormalUsersCanHaveThisProduct|berre brukarar i brukarkategorien normalbrukar kan ha denne rolla/produktet
error.multipleParentUsersNotSupported|fleire overordna brukarar blir ikkje støtta
error.usernameIsAuthorizedAndInUse|brukarnamn ikkje tilgjengeleg, godkjent brukarnamn er i bruk
error.incompleteElrApiConfiguration|mangelfull eLearnReception API-konfigurasjon
error.userDefinedUnitsNeedsParent|brukardefinerte einingar kan berre opprettast under ei eksisterande offisiell eining
error.userDefinedUnitParentMustBeOfficial|brukardefinerte einingar kan berre opprettast under offisielle einingar
error.unitsOfTypeXCannotBeAddedToBrregTree|einingar av typen [X] kan ikkje leggjast til eit Brreg-hierarki
error.failedWrongUserNameAndOrPassword|mislykkast (feil brukarnamn og/eller passord)
error.requestIgnoredWrongApiVersion|førespurnad ignorert - feil ApiVersion
error.swedishMunicipalitiesNotUpdated|svenske kommunar/fylke vart ikkje oppdaterte
error.norwegianMunicipalitiesNotUpdated|norske kommunar og fylke vart ikkje oppdaterte
error.cannotStartJobBecauseAnotherIsRunning|kan ikkje starta import - ein annan importjobb køyrer allereie
error.errorDuringExport|det oppstod ein feil under eksport
error.receivedWebhookWithoutId|fekk webhook-samtale utan ID!?
error.invalidWebhookId|ugyldig webhook-ID
error.secretKeyNotFound|fann ikkje hemmeleg nøkkel
error.messageCouldNotBeValidated|meldinga kunne ikkje validerast
error.ipFormatError|iP må innehalda 4 heiltal skilt med ’.’. Til dømes: 192.168.0.1
error.ipMaskMustBeNumeric|maske kan berre innehalda tal
error.ipMaskInvalid|ugyldig maske
error.couldNotConvertIpMask|kunne ikkje konvertera nettverksmaske
error.invalidSubnet/netmask|ugyldig subnett/nettmaske
error.invalidIpRange|iP-området må innehalda to adresser delte med ’-’-teikn. Til dømes 192.168.0.10-192.168.0.20
error.fromIpMustBeGreaterOrEqualToToIp|frå IP må vera større enn eller lik IP
error.ipAddressCannotBeZero|iP-adressen kan ikkje vera 0
error.hostIpCannotBeASubnetAddress|iP-adressen til ein enkelt vert kan ikkje vera ein subnettadresse
error.ifProblemPersistsContactSysAdmin|viss problemet held fram, vennlegast kontakt systemadministrator
error.invalidSocialSecurityNumber|ugyldig personnummer
error.userXDoesNotExistInEBA|brukar ’[X]’ eksisterer ikkje i EBA
error.onlyVlUsersCanHaveCrmLinks|CRM-lenkjer kan berre registrerast for VL-brukarar
error.invalidSearchExpression|du har oppgitt eit ugyldig søkjeuttrykk
error.noSearchExpression|du må skriva inn noko å søkja etter
error.genericSearchError|det oppstod ein feil under søk
userMessages.msg0000|ein ukjend feil oppstod. Viss problemet held fram, kontakt oss for ei rask løysing.
userMessages.msg0001|feil. Ver vennleg og prøv å registrera deg på nytt. Viss problemet held fram, kontakt oss for ei rask løysing.
userMessages.msg0002|feltet må fyllast ut
userMessages.msg0003|ugyldig e-postadresse
userMessages.msg0004|felta stemmer ikkje overeins
userMessages.msg0005|brukarnamn er ikkje tilgjengeleg
userMessages.msg0006|prøvebrukar er ikkje tilgjengeleg på grunn av karantene.
userMessages.msg0007|ver vennleg og vel eit alternativ
userMessages.msg0008|personleg brukaroppretting er ikkje tilgjengeleg for denne e-postadressa.
userMessages.msg0009|brukaren din vart oppretta. Du vil straks få ein e-post med instruksjonar for aktivering av brukaren din.
userMessages.msg0010|inga aktivering ventar på denne brukaren, eller brukaren er allereie aktivert.
userMessages.msg0011|fristen for å aktivera brukaren din er utgått. Ver vennleg og prøv å registrera deg på nytt.
confirm.misc.permanentlyDeleteCustomer|er du sikker på at du vil sletta denne kunden permanent?
confirm.misc.permanentlyDeleteXCustomers|er du sikker på at du vil sletta desse [X] kundane permanent?
confirm.misc.permanentlyDeleteCustomer2|er du heilt sikker på at du vil sletta denne kunden?<br/>Kunden vil bli sletta permanent! <br/>Ikkje mogleg å angra!
confirm.misc.permanentlyDeleteXCustomers2|er du heilt sikker på at du vil sletta desse [X] kundane?<br/>Kunder blir sletta permanent!<br/>Ikkje mogleg å angra!
confirm.deleteRight.title|slette rett
confirm.deleteRight.msg|er du sikker på at du vil sletta denne retten?
confirm.deleteRight.doing|sletter rett...
confirm.removeProduct.title|fjerne produkt/rolle
confirm.removeProduct.msg|er du sikker på at du vil fjerna produktet/rolla?
confirm.removeProduct.doing|fjernar produkt/rolle...
confirm.deleteProduct.title|slette produkt/rolle
confirm.deleteProduct.msg|er du sikker på at du vil sletta produktet/rolla?
confirm.deleteProduct.doing|sletter produkt/rolle...
confirm.deleteCapability.title|slette evne
confirm.deleteCapability.msg|er du sikker på at du vil sletta denne evna?
confirm.deleteCapability.doing|sletter evne...
confirm.removeProductCapability.title|fjern evna
confirm.removeProductCapability.msg|er du sikker på at du vil fjerna denne evna frå produktet?
confirm.removeProductCapability.doing|fjernar evna...
confirm.removeProductRight.title|fjern rett
confirm.removeProductRight.msg|er du sikker på at du vil fjerna denne retten frå produktet?
confirm.removeProductRight.doing|fjernar rett...
confirm.deleteConfig.title|slette konfigurasjon
confirm.deleteConfig.msg|er du sikker på at du vil sletta konfigurasjonen?
confirm.deleteConfig.doing|sletter konfigurasjon...
confirm.deleteUnit.title|slette eining
confirm.deleteUnit.msg|er du sikker på at du vil sletta denne eininga og dens undereiningar?
confirm.deleteUnit.doing|sletter eining...
confirm.deleteItem.title|slett oppføring
confirm.deleteItem.msg|er du sikker på at du vil sletta denne oppføringa?
confirm.deleteItem.doing|sletter oppføring...
confirm.saveChanges.title|lagre endringar
confirm.saveChanges.msg|er du sikker på at du vil lagra endringane?
confirm.saveChanges.doing|lagrar endringar...
confirm.saveUnsaved.title|lagre endringar
confirm.saveUnsaved.msg|det finst #ulagreir endringar! Vil du lagra dei?
confirm.saveUnsaved.doing|lagrar endringar...
confirm.saveYearwheel.title|lagre årshjul
confirm.saveYearwheel.msg|vil du lagra dette årshjulet?
confirm.saveYearwheel.doing|lagrar årshjul...
confirm.createYearwheel.title|laga årshjul
confirm.createYearwheel.msg|vil du laga eit nytt årshjul?
confirm.createYearwheel.doing|skaper årshjul...
confirm.deleteYearwheel.title|slett årshjul
confirm.deleteYearwheel.msg|er du sikker på at du vil sletta dette årshjulet?
confirm.deleteYearwheel.doing|sletter årshjul...
confirm.downloadYearwheelPdf.title|last ned som PDF
confirm.downloadYearwheelPdf.msg|lasta ned dette årshjulet som ei PDF-fil?
confirm.downloadYearwheelPdf.doing|ver vennleg og vent, opprettar PDF-fil...
confirm.importUnits.title|importera einingar
confirm.importUnits.msg|er du sikker på at du vil importera einingar?
confirm.importUnits.doing|importera einingar...
confirm.importUsers.title|importera brukarar
confirm.importUsers.msg|er du sikker på at du vil importera brukarar?
confirm.importUsers.doing|importerer brukarar...
confirm.exportUnitsCsv.title|eksport einingar
confirm.exportUnitsCsv.msg|eksportera vald eining og dens undereiningar til CSV?
confirm.exportUnitsCsv.doing|eksporterer...
confirm.exportUnitsToVismaLearn.title|eksporteiningar
confirm.exportUnitsToVismaLearn.msg|er du sikker på at du vil eksportera einingar til Visma Learning?
confirm.exportUnitsToVismaLearn.doing|eksporterer...
confirm.exportUsersToVismaLearn.title|eksportera brukarar
confirm.exportUsersToVismaLearn.msg|er du sikker på at du vil eksportera brukarar til Visma Learning?
confirm.exportUsersToVismaLearn.doing|eksporterer brukarar...
confirm.startPpImportJob.title|byrja å importera Plusport-avdelingar/brukarar
confirm.startPpImportJob.msg|er du sikker på at du vil starta denne jobben?
confirm.startPpImportJob.doing|startar jobben...
confirm.deleteUsername.title|slett brukarnamn
confirm.deleteUsername.msg|er du sikker på at du vil sletta dette brukarnamnet?
confirm.deleteUsername.doing|sletter brukarnamn...
confirm.currentSelectionPageviews.title|sidevisningar
confirm.currentSelectionPageviews.msg|det gjeldande utvalet inkluderer [X] brukarar. <br/> Google Analytics kan bruka litt tid på å grava opp data for dette talet brukarar.<br/>Køyra på?
confirm.currentSelectionPageviews.doing|hentar sidevisningar...
confirm.emailCustomer.title|send e-post
confirm.emailCustomer.msg|er du sikker på at du vil senda [X] til denne kunden?
confirm.emailCustomer.doing|sender e-post...
confirm.deleteCustomer.title|slette bruker
confirm.deleteCustomer.msg|er du sikker på at du vil sletta denne kunden?
confirm.deleteCustomer.doing|sletter kunde ...
confirm.permanentlyDeleteCustomer.title|slette kunden permanent
confirm.permanentlyDeleteCustomer.msg|er du sikker på at du vil sletta denne kunden permanent?
confirm.permanentlyDeleteCustomer.doing|sletter kunde permanent...
confirm.permanentlyDeleteCustomer1.title|stadfest permanent sletting
confirm.permanentlyDeleteCustomer1.msg|heilt sikker?
confirm.permanentlyDeleteCustomer1.doing|sletter kunde permanent...
confirm.restoreCustomer.title|gjenoppretta kunden
confirm.restoreCustomer.msg|er du sikker på at du vil gjenoppretta denne kunden?
confirm.restoreCustomer.doing|gjenopprettar kunde...
confirm.importCustomers.title|importera kundar
confirm.importCustomers.msg|er du sikker på at du vil importera kundar frå vald fil?
confirm.importCustomers.doing|importera kundar...
confirm.deleteCourse.title|slett kurs
confirm.deleteCourse.msg|er du sikker på at du vil sletta dette kurset?
confirm.deleteCourse.doing|sletter kurs...
confirm.sendQuizReceived.title|send ’svar motteke’
confirm.sendQuizReceived.msg|er du sikker på at du vil senda ’svar-motteken’ e-post til quiz-deltakaren?
confirm.sendQuizReceived.doing|sender ’svar-motteke’ e-post ...
confirm.sendDiploma.title|send kursbevis
confirm.sendDiploma.msg|er du sikker på at du vil senda kursbevis til [X]?
confirm.sendDiploma.doing|sender kursbevis...
confirm.deleteGroup.title|slett gruppe
confirm.deleteGroup.msg|er du sikker på at du vil sletta denne gruppa?
confirm.deleteGroup.doing|sletter gruppe...
confirm.deleteOrg.title|slett organisasjon
confirm.deleteOrg.msg|er du sikker på at du vil sletta denne organisasjonen?
confirm.deleteOrg.doing|sletter organisasjonen …
confirm.deleteUser.title|slett brukar
confirm.deleteUser.msg|er du sikker på at du vil sletta denne brukaren?
confirm.deleteUser.doing|sletter brukar...
confirm.addUserToVismaConnect.title|legg til brukar
confirm.addUserToVismaConnect.msg|er du sikker på at du vil leggja denne brukaren til Visma Connect?
confirm.addUserToVismaConnect.doing|legg til brukar ...
confirm.sendEmailToUserX.title|send e-post til brukaren
confirm.sendEmailToUserX.msg|senda e-post til bruker [X]?
confirm.sendEmailToUserX.doing|sender e-post...
confirm.deleteEmailTemplate.title|slett e-postmal
confirm.deleteEmailTemplate.msg|er du sikker på at du vil sletta denne e-postmalen?
confirm.deleteEmailTemplate.doing|sletter e-postmal...
confirm.startSoExportJob.title|start SuperOffice eksport
confirm.startSoExportJob.msg|er du sikker på at du vil starta denne jobben no?
confirm.startSoExportJob.doing|startar jobben...
lbl.forceRootUnit.value|tving rotenhet
lbl.forceRootUnit.placeholder|0
lbl.forceRootUnit.tooltip|ved avhuking her, vises data for heile organisasjonen.
label.learnerName|kurstagers namn
label.learnerEmail|kurstagers e-post
label.courseId|kurs-ID
label.courseVersion|kursversjon
label.courseName|kursnamn
label.courseDuration|varigheita til kurset
label.courseTakenDate|kursdato
label.diplomaSent|diplom seint
label.diplomaNo|diplom nr.
label.allowWebService|tillata Webservice
label.diplomaMetadata|metadata for diplom
label.showAttach|vis knyta til
label.showAttached|vis tilknytte
label.showDeleted|vis sletta
label.onlyActive|berre aktive
label.onlySingleChoise|berre enkeltval
label.sftpServerUrl|sFTP servar url
label.sftpPort|sFTP port
label.sftpUsername|sFTP brukarnamn
label.sftpPassword|sFTP passord
label.usersFilename|filnamn brukarar
label.departmentsFilename|filnamn avdelingar
label.downloadFolder|nedlastingsmappe
label.jobActive|jobb aktiv
label.activateTheJob|aktiver jobben
label.jobCronString|cronString for jobb
label.eloquaFormName|eloqua form namn
label.instanceUrl|instans url
label.companyId|firma ID
label.companyGuid|firma GUID
label.usersApiUrl|users API URL
label.rootDepartment|rotavdeling
label.catalogUrl|katalog url
label.healthCareUrl|helse og omsorg URL
label.schoolUrl|skule URL
label.kindergartenUrl|barnehage URL
label.childWelfareUrl|barnevern URL
label.courseUrl|kurs URL
label.rootExternalId|rotavdeling ID
label.forceAllUsers|fungerer på ALLE brukarar
label.forceRootUnit|tving rotenhet
label.attachedCustomers|tilknytte brukarar
label.notAttachedCustomers|ikkje tilknytte kundar
label.notAttachedAnyOrganization|ikkje knytte til nokon organisasjon
label.authorizationType|autorisasjonstype
label.deleteDate|slettedato
label.orgAttachment|org-tilknytning
label.forceUnitSelection|tving einingsval
label.username|brukarnamn (e-post)
label.usernameIsEmail|brukarnamn er e-post
label.useVismaLearn|bruka Visma Learning
label.canChangePassword|kan endra passord
label.newsOptional|valfrie nyheitsmeldingar
label.accountEnabled|konto aktivert
label.trialSubscription|prøveabonnement
label.inheritable|kan arvast
label.invalidOrgno|ugyldig organisasjonsnummer
label.reportAreaMaxPath|maks bane
label.onlyWithXmlParseError|berre med XML-parsefeil
label.onlyDiplomaNotSent|berre diplom ikkje sendt
label.onlyTraceableUsers|berre sporbare brukarar
label.onlyAnsverReceivedNotSent|berre ’svar-motteke’ ikkje sendt
label.onlyAttachedUsers|berre tilknytte brukarar
label.csvDelimiter|cSV-skilletegn
label.csvSeparator|cSV-separator
label.csvFile|cSV-fil
label.changeOrg|byte org
label.changeOrganization|byte organisasjon
label.changeUnit|byte eining
label.allowSectorNotRelevant|tillat sektor ’ikkje relevant’
label.givesSuperuserRight|gir superbrukarrett
label.onlyExportOwnProducts|eksportar berre eigne produkt
label.onlyPersonalia|berre personopplysningar
label.createNewCustomers|opprett nye kundar
label.sendEmailOnSuccess|send e-post om OK
label.sendEmailOnFail|send e-post ved feil
label.sendEmailToNewCustomers|send e-post til nye kundar
label.primeDate|prima dato
label.timeBetweenPrimeAndResult|tid mellom prima og resultat
label.flashVersion|flash-versjon
label.sectorRootPageId|sektor rotside-ID
label.useragent|useragent
label.brregRegisteredDate|brreg registreringsdato
label.underForcedLiquidation|under tvangsavvikling
label.underLiquidation|under avvikling
label.isInFoundationRegister|registrert i stiftingsregisteret
label.isInVatRegister|registrert i MVA registeret
label.isInVoluntarinessRegister|registrert i #frivilligregisteret
label.isInBusinessRegister|registrert i føretaksregisteret
label.businessCode|næringskode
label.institutionalSectorCode|institusjonell sektorkode
label.ownerId|eigar ID
label.maxPath|maks bane
label.smtpServer|sMTP-server
label.smtpPort|sMTP-port
label.smtpTlsSsl|sMTP TLS/SSL
label.smtpUsername|sMTP brukarnamn
label.smtpPassword|sMTP passord
label.emailFromAddress|e-post frå adresse
label.emailFromName|e-post frå namn
label.emailReplyToAddress|e-post svartil adresse
label.emailReplyToName|e-post svartil namn
label.initialProductsNewUser|initiale produkt for nye brukarar
label.initialProductsSelfregTrialUser|initiale produkt for sjølvregistrerte prøvebrukarar
label.initialProductsSelfregUser|initiale produkt for sjølvregistrerte brukarar
label.trialUserPeriodInDays|prøvebrukarperiode i dagar
label.trialUserQuarantineInDays|prøvebrukar karantenetid i dagar
label.trialUserDeletedAfterDays|utgåttt prøvebrukar blir sletta etter dagar
label.failMailsTo|feil/varsling blir send til
label.googleAnalyticsViewId|googla Analytics viewID
label.googleAnalyticsReportPeriodInDays|googla Analytics rapportperiode i dagar
label.inactiveMonthsBeforeAreYouAlive|bruker inaktiv månader før AreYouAlive
label.monthsBetweenAreYouAlive|månader mellom følgjande AreYouAlive
label.crmRelevant|relevant for CRM
abbr.customerNumber|kundenr
abbr.shortCustomerNumber|knr
abbr.info|info
abbr.organizationalNumber|orgno
abbr.notAvailable|nA
abbr.trialSubscription|prøveabonnement
